accession	start	end	strand	locus_id	product	other_product	reference_product	category
NC_001604.1	13798	14334	+	PM_000029	protein 4.7	hypothetical protein	NA	NO_EXACT_REFERENCE_MATCH
NC_001604.1	16483	16839	+	PM_000031	protein 5.3	hypothetical protein	hypothetical protein	NON_EVALUABLE_REFERENCE
NC_001604.1	16851	17150	+	PM_000032	protein suppressor of silencing	hypothetical protein	DUF2675 domain-containing protein	UNRESOLVED_REVIEW_REQUIRED
NC_001604.1	17150	17359	+	PM_000033	gene 5.7 protein	hypothetical protein	hypothetical protein	NON_EVALUABLE_REFERENCE
NC_001604.1	18394	18507	+	PM_000036	protein 6.3	hypothetical protein	DUF5516 domain-containing protein	UNRESOLVED_REVIEW_REQUIRED
NC_001604.1	18605	18859	+	PM_000037	protein 6.5	hypothetical protein	DUF2717 domain-containing protein	UNRESOLVED_REVIEW_REQUIRED
NC_001604.1	18864	19130	+	PM_000038	protein 6.7	hypothetical protein	DUF5476 family protein	UNRESOLVED_REVIEW_REQUIRED
NC_001604.1	39389	39538	+	PM_000058	protein 19.5	hypothetical protein	hypothetical protein	NON_EVALUABLE_REFERENCE
NC_001604.1	39834	39935	-	PM_000061	minor capsid protein p14	hypothetical protein	NA	NO_EXACT_REFERENCE_MATCH
NC_005859.1	5411	5929	-	PM_000012	hnh endonuclease	hypothetical protein	putative H-N-H-endonuclease P-TflVII	UNRESOLVED_REVIEW_REQUIRED
NC_005859.1	8300	8644	+	PM_000018	dna-(apurinic or apyrimidinic site) endonuclease	hypothetical protein	hypothetical protein	NON_EVALUABLE_REFERENCE
NC_005859.1	13199	13747	-	PM_000034	putative endonuclease	hypothetical protein	NA	NO_EXACT_REFERENCE_MATCH
NC_005859.1	18929	19360	-	PM_000051	dna binding protein	hypothetical protein	hypothetical protein	NON_EVALUABLE_REFERENCE
NC_005859.1	27656	28024	-	PM_000070	autonomous glycyl radical cofactor	hypothetical protein	putative acetyltransferase-related protein	UNRESOLVED_REVIEW_REQUIRED
NC_005859.1	39051	39467	+	PM_000099	capsid protein	hypothetical protein	hypothetical protein	NON_EVALUABLE_REFERENCE
NC_005859.1	45179	45415	-	PM_000113	exonuclease	hypothetical protein	hypothetical protein	NON_EVALUABLE_REFERENCE
NC_005859.1	86055	86318	-	PM_000165	collar protein p132	unknown function	hypothetical protein	NON_EVALUABLE_REFERENCE
NC_005859.1	105346	105783	-	PM_000184	nicking endonuclease	hypothetical protein	hypothetical protein	NON_EVALUABLE_REFERENCE
NC_005859.1	116942	117460	-	PM_000206	hnh endonuclease	hypothetical protein	NA	NO_EXACT_REFERENCE_MATCH
NC_005859.1	119831	120175	+	PM_000212	dna-(apurinic or apyrimidinic site) endonuclease	hypothetical protein	NA	NO_EXACT_REFERENCE_MATCH
NC_002371.2	203	1702	+	PM_000002	terminase, large subunit	hypothetical protein	terminase large subunit	EXACT_PRODUCT_AGREEMENT
NC_002371.2	1702	3879	+	PM_000003	portal protein	hypothetical protein	portal protein	EXACT_PRODUCT_AGREEMENT
NC_002371.2	15091	15993	+	PM_000018	antirepressor protein ant	hypothetical protein	Ant	UNRESOLVED_REVIEW_REQUIRED
NC_002371.2	22746	23381	-	PM_000027	eac protein	hypothetical protein	EaC	UNRESOLVED_REVIEW_REQUIRED
NC_002371.2	23758	24711	-	PM_000029	eaa protein	hypothetical protein	EaA	UNRESOLVED_REVIEW_REQUIRED
NC_002371.2	24715	24903	-	PM_000030	eai protein	hypothetical protein	NA	NO_EXACT_REFERENCE_MATCH
NC_002371.2	24906	25616	-	PM_000031	ead protein	hypothetical protein	NA	NO_EXACT_REFERENCE_MATCH
NC_002371.2	25496	25855	-	PM_000032	eaf protein	hypothetical protein	EaF	UNRESOLVED_REVIEW_REQUIRED
NC_002371.2	25964	26461	-	PM_000034	eae protein	hypothetical protein	EaE	UNRESOLVED_REVIEW_REQUIRED
NC_002371.2	31013	31663	-	PM_000049	helix-turn-helix transcriptional regulator	hypothetical protein	C2	UNRESOLVED_REVIEW_REQUIRED
NC_002371.2	33300	34676	+	PM_000054	replicative dna helicase	hypothetical protein	hypothetical protein	NON_EVALUABLE_REFERENCE
NC_002371.2	35184	35357	+	PM_000056	protein nind	hypothetical protein	NinD	UNRESOLVED_REVIEW_REQUIRED
NC_002371.2	35324	35500	+	PM_000057	protein nine	hypothetical protein	NinE	UNRESOLVED_REVIEW_REQUIRED
NC_002371.2	35497	35835	+	PM_000058	putative protein ninx	hypothetical protein	NinX	UNRESOLVED_REVIEW_REQUIRED
NC_002371.2	35828	36004	+	PM_000059	protein ninf	hypothetical protein	NinF	UNRESOLVED_REVIEW_REQUIRED
NC_002371.2	36605	36829	+	PM_000061	putative protein niny	hypothetical protein	NinY	UNRESOLVED_REVIEW_REQUIRED
NC_002371.2	36856	37029	+	PM_000062	protein ninh	hypothetical protein	NA	NO_EXACT_REFERENCE_MATCH
NC_000929.1	1328	3319	+	PM_000005	dde-recombinase a	hypothetical protein	Mu transposase C-terminal domain-containing protein	UNRESOLVED_REVIEW_REQUIRED
NC_000929.1	8233	8784	+	PM_000018	gema protein	hypothetical protein	regulatory protein GemA	UNRESOLVED_REVIEW_REQUIRED
NC_000929.1	11718	12017	+	PM_000027	releasin protein	hypothetical protein	DUF2730 family protein	UNRESOLVED_REVIEW_REQUIRED
NC_000929.1	12707	14554	+	PM_000030	probable terminase, large subunit gp28	hypothetical protein	NA	NO_EXACT_REFERENCE_MATCH
NC_000929.1	21486	21692	+	PM_000039	putative sheath terminator protein	hypothetical protein	NA	NO_EXACT_REFERENCE_MATCH
NC_000929.1	26208	27695	+	PM_000045	dna circularization protein n	hypothetical protein	DNA circularization N-terminal domain-containing protein	UNRESOLVED_REVIEW_REQUIRED
