accession	start	end	strand	matching_mode	reference_id	reference_start	reference_end	reference_product	PhageMine_product	PhageMine_category	PhageMine_review_notes	Pharokka_product	Pharokka_category	Pharokka_review_notes
NC_000866.4	26373	26624	-	exact	NP_049660.1	26373	26624	immunity to superinfection	immunity protein	UNRESOLVED_REVIEW_REQUIRED		immunity to superinfection	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	26636	27013	-	exact	NP_049661.1	26636	27013	iduronate sulfatase	uncharacterized 14.1 kda protein in imm-gp43 intergenic region	ABSTENTION		hypothetical protein	ABSTENTION	
NC_000866.4	27197	29893	-	exact	NP_049662.1	27197	29893	DNA polymerase	dna-directed dna polymerase	UNRESOLVED_REVIEW_REQUIRED		DNA polymerase	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	29972	30340	-	exact	NP_049663.1	29972	30340	translation repressor	translation repressor protein	UNRESOLVED_REVIEW_REQUIRED		translation repressor	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	30342	30905	-	exact	NP_049664.1	30342	30905	clamp loader of DNA polymerase	sliding-clamp-loader small subunit	UNRESOLVED_REVIEW_REQUIRED		clamp loader of DNA polymerase	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	30907	31866	-	exact	NP_049665.1	30907	31866	clamp loader of DNA polymerase	sliding-clamp-loader large subunit	UNRESOLVED_REVIEW_REQUIRED		clamp loader of DNA polymerase	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	31917	32603	-	exact	NP_049666.1	31917	32603	DNA polymerase processivity factor	sliding clamp	UNRESOLVED_REVIEW_REQUIRED		DNA polymerase processivity factor	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	32659	33048	-	exact	NP_049667.1	32659	33048	RNA polymerase binding	15 kda rna polymerase-binding protein	UNRESOLVED_REVIEW_REQUIRED		RNA polymerase binding	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	33058	33246	-	exact	NP_049668.1	33058	33246	protein GP45.2	protein gp45.2	EXACT_PRODUCT_AGREEMENT		hypothetical protein	ABSTENTION	
NC_000866.4	35168	35431	-	exact	NP_049671.1	35168	35431	gp46.2 hypothetical protein	uncharacterized 10.3 kda protein in gp46-gp47 intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	35428	36447	-	exact	NP_049672.1	35428	36447	SbcD-like subunit of palindrome specific endonuclease	exonuclease subunit 1	UNRESOLVED_REVIEW_REQUIRED		SbcD-like subunit of palindrome specific endonuclease	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	36444	36584	-	exact	NP_813808.1	36444	36584	gp47.1 hypothetical predicted membrane protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	36624	37826	-	exact	NP_049673.1	36624	37826	alpha-glucosyltransferase	dna alpha-glucosyltransferase	UNRESOLVED_REVIEW_REQUIRED		alpha-glucosyltransferase	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	37885	38679	-	exact	NP_049674.1	37885	38679	homing endonuclease	probable mobile endonuclease b	UNRESOLVED_REVIEW_REQUIRED		homing endonuclease	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	38731	38922	-	exact	NP_049675.1	38731	38922	a-gt.2 hypothetical protein	uncharacterized 7.3 kda protein in mobb-gp55 intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	38907	39110	-	exact	NP_049676.1	38907	39110	a-gt.3 hypothetical protein	uncharacterized 7.9 kda protein in mobb-gp55 intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	39079	39396	-	exact	NP_049677.1	39079	39396	a-gt.4 family protein	uncharacterized 12.4 kda protein in mobb-gp55 intergenic region	ABSTENTION		hypothetical protein	ABSTENTION	
NC_000866.4	39398	39616	-	exact	NP_049678.1	39398	39616	a-gt.5 hypothetical protein	uncharacterized 8.5 kda protein in mobb-gp55 intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	39600	40157	-	exact	NP_049679.1	39600	40157	RNA polymerase sigma factor	rna polymerase sigma-like factor	UNRESOLVED_REVIEW_REQUIRED		late sigma transcription factor	UNRESOLVED_REVIEW_REQUIRED	
NC_000866.4	40193	40456	-	exact	NP_049680.1	40193	40456	gp55.1 hypothetical protein	uncharacterized 9.8 kda protein in gp55-nrdg intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	40459	40785	-	exact	NP_049681.1	40459	40785	gp55.2 hypothetical protein	uncharacterized 12.7 kda protein in gp55-nrdg intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	40799	41038	-	exact	NP_049682.1	40799	41038	gp55.3 hypothetical protein	uncharacterized 9.2 kda protein in gp55-nrdg intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	41039	41170	-	exact	NP_049683.1	41039	41170	gp55.4 conserved hypothetical protein	uncharacterized 5.1 kda protein in gp55-nrdg intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	41178	41471	-	exact	NP_049684.1	41178	41471	gp55.5 conserved protein of unknown function	uncharacterized 11.8 kda protein in gp55-nrdg intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	41464	41646	-	exact	NP_049685.1	41464	41646	gp55.6 conserved hypothetical protein	uncharacterized 7.0 kda protein in gp55-nrdg intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	41805	42113	-	exact	NP_049686.1	41805	42113	NrdH glutaredoxin	uncharacterized 11.8 kda protein in gp55-nrdg intergenic region	ABSTENTION		thioredoxin domain	UNRESOLVED_REVIEW_REQUIRED	
NC_000866.4	42116	42328	-	exact	NP_049687.1	42116	42328	gp55.8 conserved hypothetical predicted membrane protein	uncharacterized 7.9 kda protein in gp55-nrdg intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	42446	42916	-	exact	NP_049688.1	42446	42916	anaerobic ribonucleotide reductase small subunit	anaerobic ribonucleoside-triphosphate reductase-activating protein	UNRESOLVED_REVIEW_REQUIRED		anaerobic ribonucleotide reductase small subunit	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	42906	43538	-	exact	NP_049689.1	42906	43538	homing endonuclease	probable mobile endonuclease c	UNRESOLVED_REVIEW_REQUIRED		homing endonuclease	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	44836	45612	-	exact	NP_049691.2	44836	45612	I-TevII homing endonuclease	intron-associated endonuclease 2	UNRESOLVED_REVIEW_REQUIRED		homing endonuclease	UNRESOLVED_REVIEW_REQUIRED	
NC_000866.4	46382	46855	-	exact	NP_049692.1	46382	46855	endonuclease VII	recombination endonuclease vii	UNRESOLVED_REVIEW_REQUIRED		endonuclease VII	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	46897	47382	-	exact	NP_049694.1	46897	47382	inhibitor of host Lon protease	host protease inhibitor	UNRESOLVED_REVIEW_REQUIRED		inhibitor of host Lon protease	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	47366	47521	-	exact	NP_049695.1	47366	47521	gp49.1 conserved protein of unknown function	uncharacterized 6.2 kda protein in pin-nrdc intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	47506	47826	-	exact	NP_049696.1	47506	47826	ribonucleotide reductase	uncharacterized 12.6 kda protein in pin-nrdc intergenic region	ABSTENTION		ribonucleotide reductase	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	47823	48131	-	exact	NP_049697.1	47823	48131	gp49.3 hypothetical protein	uncharacterized 11.9 kda protein in pin-nrdc intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	48128	48391	-	exact	NP_049698.1	48128	48391	NrdC thioredoxin	glutaredoxin	UNRESOLVED_REVIEW_REQUIRED		thioredoxin domain	UNRESOLVED_REVIEW_REQUIRED	
NC_000866.4	48393	48635	-	exact	NP_049699.1	48393	48635	hypothetical protein	uncharacterized 9.4 kda protein in nrdc-mobd intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	48622	48936	-	exact	NP_049700.1	48622	48936	hypothetical protein	uncharacterized 12.2 kda protein in nrdc-mobd intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	48933	49859	-	exact	NP_049701.1	48933	49859	hypothetical protein	uncharacterized 36.3 kda protein in nrdc-mobd intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	49914	50915	-	exact	NP_049702.1	49914	50915	hypothetical protein	uncharacterized 39.0 kda protein in nrdc-mobd intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	50973	51995	-	exact	NP_049703.1	50973	51995	NrdC.5 conserved hypothetical protein	uncharacterized 39.7 kda protein in nrdc-mobd intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	52066	52893	-	exact	NP_049704.1	52066	52893	hypothetical protein	uncharacterized 31.7 kda protein in nrdc-mobd intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	52901	53302	-	exact	NP_049705.1	52901	53302	NrdC.7 conserved hypothetical, predicted membrane protein	uncharacterized 15.3 kda protein in nrdc-mobd intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	53358	53885	-	exact	NP_049706.1	53358	53885	hypothetical protein	uncharacterized 20.7 kda protein in nrdc-mobd intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	53946	54248	-	exact	NP_049707.1	53946	54248	NrdC.9 conserved hypothetical protein	uncharacterized 12.0 kda protein in nrdc-mobd intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	54343	55320	-	exact	NP_049708.1	54343	55320	hypothetical protein	uncharacterized 36.7 kda protein in nrdc-mobd intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	56429	57208	-	exact	NP_049710.1	56429	57208	homing endonuclease	probable mobile endonuclease d	UNRESOLVED_REVIEW_REQUIRED		homing endonuclease	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	57283	57828	-	exact	NP_049711.1	57283	57828	MobD.1 conserved hypothetical protein	uncharacterized 21.1 kda protein in mobd-ri intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	58049	58165	-	exact	NP_813809.1	58049	58165	MobD.2a hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	58155	58349	-	exact	NP_049713.1	58155	58349	MobD.3 hypothetical protein	uncharacterized 7.6 kda protein in mobd-ri intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	58352	58534	-	exact	NP_049714.1	58352	58534	molybdopterin-guanine dinucleotide biosynthesis protein MobD	uncharacterized 6.8 kda protein in mobd-ri intergenic region	ABSTENTION		hypothetical protein	ABSTENTION	
NC_000866.4	58534	58722	-	exact	NP_049715.1	58534	58722	MobD.5 hypothetical protein	uncharacterized 7.1 kda protein in mobd-ri intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	58819	59205	-	exact	NP_049716.1	58819	59205	starvation-inducible transcriptional regulator	uncharacterized 14.6 kda protein in mobd-ri intergenic region	ABSTENTION		starvation-inducible transcriptional regulator	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	59202	59495	-	exact	NP_049717.1	59202	59495	lysis inhibition	antiholin	UNRESOLVED_REVIEW_REQUIRED		lysis inhibition	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	59508	59720	-	exact	NP_049718.1	59508	59720	rI.1 conserved hypothetical protein	uncharacterized 8.3 kda protein in ri-tk intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	59763	60344	-	exact	NP_049719.1	59763	60344	thymidine kinase	thymidine kinase	EXACT_PRODUCT_AGREEMENT		thymidine kinase	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	60346	60534	-	exact	NP_049720.1	60346	60534	Tk.1 conserved hypothetical protein	uncharacterized 7.2 kda protein in tk-vs intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	60713	60925	-	exact	NP_049722.1	60713	60925	Tk.2 conserved hypothetical protein	uncharacterized 8.5 kda protein in tk-vs intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	60922	61389	-	exact	NP_049723.1	60922	61389	phosphatase	uncharacterized 17.5 kda protein in tk-vs intergenic region	ABSTENTION		phosphatase	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	61386	61733	-	exact	NP_049724.1	61386	61733	valyl tRNA synthetase modifier	valyl--trna ligase modifier	UNRESOLVED_REVIEW_REQUIRED		valyl tRNA synthetase modifier	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	61726	62271	-	exact	NP_049725.1	61726	62271	hypothetical protein	uncharacterized 20.7 kda protein in vs-regb intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	62279	62740	-	exact	NP_049726.1	62279	62740	endoribonuclease	endoribonuclease regb	UNRESOLVED_REVIEW_REQUIRED		endoribonuclease	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	62800	63078	-	exact	NP_049727.1	62800	63078	Vs.3 conserved hypothetical protein	uncharacterized 10.9 kda protein in regb-denv intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	63078	63344	-	exact	NP_049728.1	63078	63344	Vs.4 conserved hypothetical protein	anti-cbass protein 2	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	63557	63919	-	exact	NP_049730.1	63557	63919	autonomous glycyl radical cofactor GrcA	autonomous glycyl radical cofactor	UNRESOLVED_REVIEW_REQUIRED		hypothetical protein	ABSTENTION	
NC_000866.4	63927	64256	-	exact	NP_049731.1	63927	64256	hypothetical protein	uncharacterized 12.8 kda protein in regb-denv intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	64253	64912	-	exact	NP_049732.1	64253	64912	hypothetical protein	uncharacterized 25.0 kda protein in regb-denv intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	64939	65355	-	exact	NP_049733.1	64939	65355	endonuclease V N-glycosylase UV repair enzyme	endonuclease v	UNRESOLVED_REVIEW_REQUIRED		endonuclease V N-glycosylase UV repair enzyme	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	65416	65718	-	exact	NP_049734.1	65416	65718	internal virion protein	internal protein ii	UNRESOLVED_REVIEW_REQUIRED		internal virion protein	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	65834	66415	-	exact	NP_049735.1	65834	66415	internal virion protein	internal protein iii	UNRESOLVED_REVIEW_REQUIRED		internal virion protein	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	66503	66997	-	exact	NP_049736.1	66503	66997	glycoside hydrolase family protein	endolysin	UNRESOLVED_REVIEW_REQUIRED		hypothetical protein	ABSTENTION	
NC_000866.4	67035	67490	-	exact	NP_049737.1	67035	67490	nudix hydrolase	uncharacterized 17.7 kda protein in e-segb intergenic region	ABSTENTION		nudix hydrolase	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	67652	67960	-	exact	NP_049738.1	67652	67960	hypothetical protein	uncharacterized 12.2 kda protein in e-segb intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	67957	68319	-	exact	NP_049739.1	67957	68319	hypothetical protein	uncharacterized 14.2 kda protein in e-segb intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	68301	68693	-	exact	NP_049740.1	68301	68693	hypothetical protein	uncharacterized 15.1 kda protein in e-segb intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	68662	69270	-	exact	NP_049741.1	68662	69270	e.5 conserved hypothetical protein	uncharacterized 23.8 kda protein in e-segb intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	69312	69905	-	exact	NP_049742.1	69312	69905	e.6 conserved hypothetical protein	uncharacterized 22.0 kda protein in e-segb intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	69968	70303	-	exact	NP_049743.1	69968	70303	e.7 hypothetical protein	uncharacterized 13.1 kda protein in e-segb intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	70360	70623	-	exact	NP_049744.1	70360	70623	e.8 conserved hypothetical protein	uncharacterized 10.2 kda protein in e-segb intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	71253	71918	-	exact	NP_049745.2	71253	71918	homing endonuclease	putative endonuclease segb	UNRESOLVED_REVIEW_REQUIRED		homing endonuclease	EXACT_PRODUCT_AGREEMENT	
