adjudication_id	prediction_A_tool	prediction_B_tool
3068523ae4e55c5c	Pharokka	PhageMine
3a88ce75d584f949	Pharokka	PhageMine
b78224b70c5bbb76	Pharokka	PhageMine
9b3681b6131e2d8f	Pharokka	PhageMine
532f7a0f60a09eb8	Pharokka	PhageMine
b95f91721b975a2f	PhageMine	Pharokka
90f0225ff9916d11	PhageMine	Pharokka
cbfc74f4c527beb2	Pharokka	PhageMine
b812f5a62992fb2e	PhageMine	Pharokka
43bcd6fe6348f61e	Pharokka	PhageMine
1b4b62aa5865a613	PhageMine	Pharokka
95c7f2c811ca7dba	Pharokka	PhageMine
980f24ac1133587a	Pharokka	PhageMine
b1465083ab6f5733	PhageMine	Pharokka
96e756f94e94a0e9	PhageMine	Pharokka
486b2702d45caa2b	Pharokka	PhageMine
5c94f0ab4faeb0f0	PhageMine	Pharokka
7400320c59a4eb6c	PhageMine	Pharokka
eacb541ee1708351	Pharokka	PhageMine
a693bf737ab649aa	PhageMine	Pharokka
d93c5a0040d10812	Pharokka	PhageMine
7703a801a473a537	PhageMine	Pharokka
059dd52c3f9850dc	PhageMine	Pharokka
c55d13a52ce8a272	PhageMine	Pharokka
0c9dbce2815240f4	Pharokka	PhageMine
29831fc1cf5577e7	PhageMine	Pharokka
c79ff15ae104249a	Pharokka	PhageMine
f631fb7f31dacc6d	Pharokka	PhageMine
3e8ac16076b89e90	PhageMine	Pharokka
ce16a67ca5ac7904	Pharokka	PhageMine
26900dbeb4659d2b	Pharokka	PhageMine
dfabbc00198f3bdd	Pharokka	PhageMine
f5767c8d26761c0c	Pharokka	PhageMine
6f0e0c34a4d1af4a	Pharokka	PhageMine
630683166c5913e1	Pharokka	PhageMine
1b81dec6ce12eccf	PhageMine	Pharokka
075670fc2e19968e	Pharokka	PhageMine
d61679ab4c10c583	Pharokka	PhageMine
184e1df8c775e35f	Pharokka	PhageMine
1d8476105fb171dd	PhageMine	Pharokka
ba6c6ee0372864e8	PhageMine	Pharokka
e1edd82f767e4deb	PhageMine	Pharokka
d09250ece621b210	Pharokka	PhageMine
73fe4e253e36d27a	PhageMine	Pharokka
fc0fed82616fcd56	PhageMine	Pharokka
04b3d21d2d326cd6	PhageMine	Pharokka
43fd4d842d86849d	PhageMine	Pharokka
2601a8b24ce9d151	Pharokka	PhageMine
cd0a7546200f4947	PhageMine	Pharokka
e1e205d26581bd2a	Pharokka	PhageMine
996e6526d8731053	Pharokka	PhageMine
e9f1c3e321c6e92e	PhageMine	Pharokka
a478d80b5830f187	PhageMine	Pharokka
62d74ae96f708e21	Pharokka	PhageMine
a55497215bb37681	PhageMine	Pharokka
de5dc22f81fb738b	PhageMine	Pharokka
c7e9752c59cf3137	Pharokka	PhageMine
fb9715723ae82b4a	Pharokka	PhageMine
6ac4325ed2a43adb	PhageMine	Pharokka
5fc32e4fd76398d8	PhageMine	Pharokka
3437a5b83043af39	Pharokka	PhageMine
11c7890c9da4637a	PhageMine	Pharokka
0ccba117ed490089	Pharokka	PhageMine
f4eafb92e8d586cd	PhageMine	Pharokka
33b624553f43be4b	Pharokka	PhageMine
64ea843e3d81dd72	Pharokka	PhageMine
48d3f71152e63f24	PhageMine	Pharokka
ff68fc8156ca4add	Pharokka	PhageMine
e860e27e230cd35b	Pharokka	PhageMine
c7cfd89cb4f6cb29	PhageMine	Pharokka
ce3dcf2cf190f0c3	Pharokka	PhageMine
9a8b8ee969a63cb5	PhageMine	Pharokka
67855c4ca7216992	Pharokka	PhageMine
48128756cad7cb67	PhageMine	Pharokka
ef2231e115f86cc5	Pharokka	PhageMine
c5a3bf3df051a5a2	PhageMine	Pharokka
8c855d9b83a8728b	Pharokka	PhageMine
48710a1d5777218d	PhageMine	Pharokka
922990dbc9bcdf3d	Pharokka	PhageMine
73d9f0e917af5039	Pharokka	PhageMine
fda55383b136fcbd	PhageMine	Pharokka
6a802bd8061fa163	PhageMine	Pharokka
a5e42531076b24f8	Pharokka	PhageMine
c6ea740ae39f7889	Pharokka	PhageMine
d1bc25ff8f789b93	Pharokka	PhageMine
05902279f9708b0b	PhageMine	Pharokka
bcc9f5a0b7046456	Pharokka	PhageMine
1b2167de7105d741	PhageMine	Pharokka
b193ada90ef2d0ab	PhageMine	Pharokka
86e1c0e98a0832ec	Pharokka	PhageMine
616019733ac5b719	PhageMine	Pharokka
1ee203c1525fb4b9	PhageMine	Pharokka
74e9927d6c228a1f	Pharokka	PhageMine
ba19feeeab15d17d	PhageMine	Pharokka
d2a045cc9d0d582c	Pharokka	PhageMine
292b87c6002c20de	PhageMine	Pharokka
eb8b2e388945dc45	PhageMine	Pharokka
b4e690e7fed9cca2	PhageMine	Pharokka
232b2cbc30b6b646	PhageMine	Pharokka
7900adcea88ea06d	Pharokka	PhageMine
9ba8201db11a5ebd	Pharokka	PhageMine
8b4ad3224c3065b6	Pharokka	PhageMine
60b3a3ed12a7bc0d	PhageMine	Pharokka
96e359bff0ed6db5	Pharokka	PhageMine
376f0f0d15c48b2a	PhageMine	Pharokka
327b0c8446b56552	PhageMine	Pharokka
2c700041463f46d1	Pharokka	PhageMine
a63aeae4997fbc94	Pharokka	PhageMine
a5efd645ad1844b5	PhageMine	Pharokka
2056cb6f0339f5ac	Pharokka	PhageMine
7c51574a9c4b9aa9	PhageMine	Pharokka
fac3af3a5091f365	PhageMine	Pharokka
55d87a18ac8cc405	PhageMine	Pharokka
cca95a5b13e9aa17	Pharokka	PhageMine
c00d3099ed2e3546	Pharokka	PhageMine
bb9434667a7453f7	Pharokka	PhageMine
10d313c72f929d94	Pharokka	PhageMine
584eadbd0559ca72	Pharokka	PhageMine
a7bf64b1c199c4ac	PhageMine	Pharokka
4df7d7991ead789d	Pharokka	PhageMine
828102c379bcafd1	PhageMine	Pharokka
c644ca9b96ea3778	Pharokka	PhageMine
4b6fa7e28a604906	PhageMine	Pharokka
5a73ef780830a1e7	PhageMine	Pharokka
2965affe131d82a6	PhageMine	Pharokka
e5f1578c30f0ac0d	Pharokka	PhageMine
35fc4a73b6bb760e	Pharokka	PhageMine
7ae2b2a88ac9a672	PhageMine	Pharokka
449138e57478a9f0	PhageMine	Pharokka
ceea405ca7a80f9b	PhageMine	Pharokka
169d1815c8bb8442	Pharokka	PhageMine
3845b3530fa13e73	Pharokka	PhageMine
fbd1c1002a9537bb	PhageMine	Pharokka
5608a3fa29144177	PhageMine	Pharokka
7ad8bea67f36cea5	PhageMine	Pharokka
06364c0589923bb7	Pharokka	PhageMine
22d68a0f75e6362a	Pharokka	PhageMine
ab449f713df6f887	PhageMine	Pharokka
7eefc590d2467274	Pharokka	PhageMine
196d93b1415b8447	Pharokka	PhageMine
8228adac766bb1ff	Pharokka	PhageMine
683f6cf5cc645f44	PhageMine	Pharokka
84d2b768225ac4af	Pharokka	PhageMine
0f05ad312b92b9fb	PhageMine	Pharokka
447f02381fcd5b5a	Pharokka	PhageMine
74cbfb256065607b	PhageMine	Pharokka
16e47eb80743d450	PhageMine	Pharokka
71be6866e41dacf7	Pharokka	PhageMine
77ef2f01e724cb60	PhageMine	Pharokka
b93b484e6d71ff75	Pharokka	PhageMine
8d0fb7fa7336adfe	PhageMine	Pharokka
f021652f8e1bc843	PhageMine	Pharokka
0c2671f2c77ea102	Pharokka	PhageMine
f1f45af80b229636	PhageMine	Pharokka
adf04b5eec503ced	PhageMine	Pharokka
76a25df393a332fd	PhageMine	Pharokka
e95e2d1e0fafeefc	Pharokka	PhageMine
6d1dd18840f65f06	Pharokka	PhageMine
77c8a8db991ff38f	PhageMine	Pharokka
35fd07fd272c26ca	PhageMine	Pharokka
7956cde23863b44c	PhageMine	Pharokka
66b4b050ddd18dc3	PhageMine	Pharokka
8155079f08b3db8b	PhageMine	Pharokka
16b45a999ff71a82	Pharokka	PhageMine
c23825616c0a9970	Pharokka	PhageMine
1e1f2927ccc37f51	Pharokka	PhageMine
f78c3d922cfc54b7	PhageMine	Pharokka
5bd20fcd7657d657	Pharokka	PhageMine
190adb3154a27564	Pharokka	PhageMine
94d8dbe32db4c26a	PhageMine	Pharokka
eb331a457e4e6c77	Pharokka	PhageMine
b7c0302d839c7be3	Pharokka	PhageMine
8c621665b415b5ba	PhageMine	Pharokka
f758380a99d20af0	PhageMine	Pharokka
c03c8d1b16339890	Pharokka	PhageMine
d372a5b8b937e697	PhageMine	Pharokka
fa218f64f766d561	Pharokka	PhageMine
2d4dde4d2a6e6af5	Pharokka	PhageMine
77a24fdb4b41c51a	PhageMine	Pharokka
06c26ff60c756ab3	Pharokka	PhageMine
530128622fdbd4fa	Pharokka	PhageMine
b446bf2c3ac2e113	Pharokka	PhageMine
b199d6c61fd22ee2	Pharokka	PhageMine
754bb4a860db85a2	PhageMine	Pharokka
24cf63f5f207fd47	PhageMine	Pharokka
9417d1f55bce940e	PhageMine	Pharokka
623bba61c9243af0	PhageMine	Pharokka
5342b0b74d72443e	PhageMine	Pharokka
b19753be85337c22	PhageMine	Pharokka
47ad1f5d6d06b0ce	Pharokka	PhageMine
4b63c279b3e15815	Pharokka	PhageMine
5f57d7286f014265	PhageMine	Pharokka
26e4590c0693a205	Pharokka	PhageMine
fef0ce13a009814b	PhageMine	Pharokka
14b44f850ef75067	PhageMine	Pharokka
079faf10920e09ca	PhageMine	Pharokka
77af9d087192b92b	Pharokka	PhageMine
e3a2e4b33fed9d95	PhageMine	Pharokka
53f2fd2c8d6131c4	PhageMine	Pharokka
defaaef1149c92e3	Pharokka	PhageMine
434d52cd5b024734	Pharokka	PhageMine
a2438fb48883ddee	PhageMine	Pharokka
19d610543fc4eab4	PhageMine	Pharokka
d390aeb7268b8f61	Pharokka	PhageMine
de9a54d8496a0dac	PhageMine	Pharokka
aa38561b99299651	Pharokka	PhageMine
0c5f056818e8bc28	Pharokka	PhageMine
f6a20e6cbc305e9f	PhageMine	Pharokka
9f2fbd10c6fd3c34	Pharokka	PhageMine
1a87475ee1e8bf57	Pharokka	PhageMine
e711e94db7cf90cc	PhageMine	Pharokka
8e4e11793f91cc51	PhageMine	Pharokka
5440f0fcccf57a47	Pharokka	PhageMine
fe05428cec5d7364	PhageMine	Pharokka
5df51a1a6c27fa20	PhageMine	Pharokka
4c1065557669e09d	PhageMine	Pharokka
774e0fcea77284b0	Pharokka	PhageMine
6c9c000affa16377	PhageMine	Pharokka
fdcc3459e9d92156	PhageMine	Pharokka
5ebc639c3eae92f3	PhageMine	Pharokka
7ceec3cf07bfec5c	Pharokka	PhageMine
375efb5c9ddfb64b	PhageMine	Pharokka
326120539ea6bbad	PhageMine	Pharokka
dbc0a085b2f5acd1	PhageMine	Pharokka
a3270390a0dd560e	Pharokka	PhageMine
cd209f4f5578fe24	PhageMine	Pharokka
c32e195044bfaba5	Pharokka	PhageMine
53113257d736dbf4	PhageMine	Pharokka
2f4e4f42f1a65dbe	PhageMine	Pharokka
012d415aafdf735c	PhageMine	Pharokka
30b074968c319120	PhageMine	Pharokka
995928b4790ebe48	PhageMine	Pharokka
2fa008ff045c9440	Pharokka	PhageMine
0a3f6245469e71b0	PhageMine	Pharokka
a22aaf8e03057e25	Pharokka	PhageMine
17a17e29d45a9753	PhageMine	Pharokka
000a532e6d14988b	Pharokka	PhageMine
2bddbf2e433aa4c3	PhageMine	Pharokka
5217655bec265ce5	PhageMine	Pharokka
67b30ebe7d7d97aa	Pharokka	PhageMine
46e643dd2a95de6a	PhageMine	Pharokka
1fb2934ec0ab874c	Pharokka	PhageMine
9e6cd1e263bdefa2	PhageMine	Pharokka
1a447fc76de3afeb	Pharokka	PhageMine
3bc8588f180a5d7b	PhageMine	Pharokka
cc2a1ba665c2d4c0	Pharokka	PhageMine
0aca963ba4b5655c	Pharokka	PhageMine
60c22aa4a49460a4	PhageMine	Pharokka
0684fde2164c9e7c	Pharokka	PhageMine
4f576b79fb0a9a23	PhageMine	Pharokka
02d48706a66ce47f	PhageMine	Pharokka
9b905ca59c0bb2c8	Pharokka	PhageMine
40826465fe926a21	Pharokka	PhageMine
4874f9e9de3712ad	PhageMine	Pharokka
b403be21c958f6a1	PhageMine	Pharokka
2bea8bcb19535fa4	PhageMine	Pharokka
e6593d0213f6748d	PhageMine	Pharokka
c784ace5c0039877	PhageMine	Pharokka
7da1ab244b1c194f	Pharokka	PhageMine
d7b01bef90743aea	PhageMine	Pharokka
28b42f71d854f3ae	Pharokka	PhageMine
bb9c06cac262c8aa	PhageMine	Pharokka
356d0cbef6f9d5f0	PhageMine	Pharokka
5c870436f53c9679	PhageMine	Pharokka
5cfee7945651ad0d	PhageMine	Pharokka
202bc6ee8f7ed3fa	Pharokka	PhageMine
4e0a2b5b77ac213f	Pharokka	PhageMine
ca9cca0a78d8afec	Pharokka	PhageMine
395ecdc53f02a786	PhageMine	Pharokka
b03da99b45869013	Pharokka	PhageMine
2e4da1532be692dc	PhageMine	Pharokka
a3654d67cbfce480	PhageMine	Pharokka
619e6b73caaad603	Pharokka	PhageMine
1ec0e4491502cdd2	Pharokka	PhageMine
b029dccd0747d105	Pharokka	PhageMine
a5f1d6292fd23c3b	PhageMine	Pharokka
f917ca9d36f75300	PhageMine	Pharokka
651ac3805a2b3ad2	Pharokka	PhageMine
c38cb997ef185073	PhageMine	Pharokka
bbf8eeacff2431bc	PhageMine	Pharokka
ee0d52ac3a63683d	Pharokka	PhageMine
30f1501909708e47	PhageMine	Pharokka
a09e00fb7c430964	Pharokka	PhageMine
fc87380a75f4069d	Pharokka	PhageMine
34d9a6d0efeae737	PhageMine	Pharokka
ff6a5fe2b822f3ba	Pharokka	PhageMine
e970a0e85e9bf71c	PhageMine	Pharokka
bf1f2eac3a84ed6b	PhageMine	Pharokka
4c3bee9130bfd176	PhageMine	Pharokka
a83e6aa8120b8c22	PhageMine	Pharokka
d1d9bc34b41e38d5	PhageMine	Pharokka
c734070d9571741c	Pharokka	PhageMine
7bf286d81eda5d0b	Pharokka	PhageMine
e280293e3fe477c6	Pharokka	PhageMine
2214c234f2bca1d1	PhageMine	Pharokka
0706d315d02fcf76	Pharokka	PhageMine
5814831e7f36d569	PhageMine	Pharokka
83daed9a9c5e9f2a	PhageMine	Pharokka
9c1ffd4fad8782b7	PhageMine	Pharokka
ae6ce5040587bfd9	PhageMine	Pharokka
14c8042cada795c0	Pharokka	PhageMine
5c16be08c70dfb81	PhageMine	Pharokka
abc993a65cc3b3d7	PhageMine	Pharokka
37375f4ca0352d46	Pharokka	PhageMine
65b4e25bc868bdee	PhageMine	Pharokka
507a887f16849fb0	Pharokka	PhageMine
259043288fde191f	Pharokka	PhageMine
595d02d0f54f5c9a	Pharokka	PhageMine
30e3ed04f1e6b3ca	Pharokka	PhageMine
f1726a8f6bef34f6	Pharokka	PhageMine
4def697b96edd4ef	Pharokka	PhageMine
c3b890767ce63070	Pharokka	PhageMine
90373519d905308e	Pharokka	PhageMine
118c967910d79134	Pharokka	PhageMine
1317729c7cda43ea	Pharokka	PhageMine
77f18e81d945e750	PhageMine	Pharokka
470ae3177322a2cc	Pharokka	PhageMine
1645b68ea4249b92	PhageMine	Pharokka
913b007330b80529	Pharokka	PhageMine
383cc6a9133e1d5a	Pharokka	PhageMine
e8e379c9d302f5f8	PhageMine	Pharokka
e7721c3eb00955c1	PhageMine	Pharokka
2d755b8bd1ab4b67	PhageMine	Pharokka
441970c36e97131d	PhageMine	Pharokka
46f99eea0d70bf36	PhageMine	Pharokka
63ac1aa22274d23d	Pharokka	PhageMine
f61b29ed6ce6dfbd	Pharokka	PhageMine
358dd4db3c6d4e48	PhageMine	Pharokka
1400d5320d622f7c	PhageMine	Pharokka
efacceb7fbf5138d	Pharokka	PhageMine
c26f168de6e0807b	PhageMine	Pharokka
94e7cf25d3cfa613	PhageMine	Pharokka
e3db591302f3f202	PhageMine	Pharokka
02d104c5e72c1ee4	Pharokka	PhageMine
a6be804b968939a3	PhageMine	Pharokka
db7b620a6feea257	PhageMine	Pharokka
f391f2488c9ed891	PhageMine	Pharokka
40d09163786cc9a3	PhageMine	Pharokka
ade344c74f30cb34	Pharokka	PhageMine
44675d79ee241e28	PhageMine	Pharokka
6b912ade74f024c0	PhageMine	Pharokka
a91222b17aaf54bc	PhageMine	Pharokka
69c2eac2d456f203	PhageMine	Pharokka
04cd065f62ce9f8f	Pharokka	PhageMine
3a1306ac9f2d72dc	PhageMine	Pharokka
516e2ae805b109c6	Pharokka	PhageMine
f23d605d6067a3b6	Pharokka	PhageMine
bd46a33a6d5c8dc7	Pharokka	PhageMine
c4185bb71d16c3df	PhageMine	Pharokka
66c7d9d72b39102b	PhageMine	Pharokka
44ca9cb5fa9e6539	PhageMine	Pharokka
ad97cd9b2ab485cd	PhageMine	Pharokka
a1a99b1b9e881625	Pharokka	PhageMine
86e76caab9864c78	PhageMine	Pharokka
329349fcfb647e48	Pharokka	PhageMine
eb70c9ed5bee1b55	PhageMine	Pharokka
0b2f3090a01c646b	PhageMine	Pharokka
beec691ad8640d90	Pharokka	PhageMine
a281e12a862ea8e4	PhageMine	Pharokka
ba301cedc87a0a9d	PhageMine	Pharokka
ac7e487adf69fd4c	Pharokka	PhageMine
a9bdd86fd4097483	Pharokka	PhageMine
0a66ccc7ef9f5032	PhageMine	Pharokka
7c69e644d512f05c	Pharokka	PhageMine
d150f43c44ae4d78	PhageMine	Pharokka
43267aa617cf69bd	PhageMine	Pharokka
ba200f5c68de35b2	PhageMine	Pharokka
cb36f1a959f00776	Pharokka	PhageMine
713d0676e6476c63	PhageMine	Pharokka
077cc5baf053422e	Pharokka	PhageMine
526d61a495ef34e3	Pharokka	PhageMine
ac4067a32f75395d	Pharokka	PhageMine
4bb4c6851a10cf86	PhageMine	Pharokka
2c5850cfab813123	PhageMine	Pharokka
29348094b15da7c2	Pharokka	PhageMine
b5a7471dc1a29160	PhageMine	Pharokka
49bc9596d54cd383	Pharokka	PhageMine
6c4abfac5fd2b2f7	Pharokka	PhageMine
e91eca1fcb2f82f4	Pharokka	PhageMine
b643e57ecd20bd67	PhageMine	Pharokka
49f0f30fd21e4c58	PhageMine	Pharokka
01cf4c7ca2edf87c	Pharokka	PhageMine
bc42b3354c6b1f35	Pharokka	PhageMine
a7681b774f6e6a88	PhageMine	Pharokka
b594b02283760302	Pharokka	PhageMine
624a1d63384dfd73	Pharokka	PhageMine
630e818c6ad5c7e4	Pharokka	PhageMine
a1e7ea550785f1de	Pharokka	PhageMine
aaa3264c3b0349b2	Pharokka	PhageMine
2875f5ea88da5042	PhageMine	Pharokka
603da021f63c2c76	Pharokka	PhageMine
c4296b787ebee258	PhageMine	Pharokka
53edda5bc251875a	Pharokka	PhageMine
096e5fb6116f4643	Pharokka	PhageMine
c9ac8f5c44e88c4a	PhageMine	Pharokka
def1c5099ccc86a6	Pharokka	PhageMine
f0d23ee8b3c8117b	Pharokka	PhageMine
4215aa4f715283cd	PhageMine	Pharokka
5e09080feb55adb0	Pharokka	PhageMine
fd7af093e162bbab	Pharokka	PhageMine
