accession	start	end	strand	locus_id	product	other_product	reference_product	category
NC_000866.4	60922	61389	-	PHAR_NC_000866_4_CDS_0123	phosphatase	uncharacterized 17.5 kda protein in tk-vs intergenic region	phosphatase	EXACT_PRODUCT_AGREEMENT
NC_000866.4	67035	67490	-	PHAR_NC_000866_4_CDS_0137	nudix hydrolase	uncharacterized 17.7 kda protein in e-segb intergenic region	nudix hydrolase	EXACT_PRODUCT_AGREEMENT
NC_000866.4	102781	103023	+	PHAR_NC_000866_4_CDS_0183	prohead	conserved phage protein of unknown function	prohead	EXACT_PRODUCT_AGREEMENT
NC_000866.4	137955	138434	-	PHAR_NC_000866_4_CDS_0243	aerobic NDP reductase small subunit	conserved phage protein of unknown function	NA	NO_EXACT_REFERENCE_MATCH
NC_000866.4	139716	139967	-	PHAR_NC_000866_4_CDS_0248	homing endonuclease	uncharacterized 9.4 kda protein in nrdb-nrda intergenic region	Nrd.1 hypothetical protein	NON_EVALUABLE_REFERENCE
NC_000866.4	147909	148541	-	PHAR_NC_000866_4_CDS_0261	homing endonuclease	uncharacterized 24.6 kda protein in gp32-gp59 intergenic region	homing endonuclease	EXACT_PRODUCT_AGREEMENT
NC_000866.4	166432	166554	-	PHAR_NC_000866_4_CDS_0287	periplasmic protein	uncharacterized 4.3 kda protein in ndd-denb intergenic region	periplasmic protein	EXACT_PRODUCT_AGREEMENT
NC_000866.4	166815	166913	-	PHAR_NC_000866_4_CDS_0290	outer membrane protein	uncharacterized 3.7 kda protein in ndd-denb intergenic region	outer membrane protein	EXACT_PRODUCT_AGREEMENT
NC_001416.1	191	736	+	PHAR_NC_001416_1_CDS_0001	terminase small subunit	conserved phage protein of unknown function	terminase small subunit	EXACT_PRODUCT_AGREEMENT
NC_001416.1	41063	41953	+	PHAR_NC_001416_1_CDS_0070	phosphoadenosine phosphosulfate reductase	uncharacterized nin region protein orf290	NA	NO_EXACT_REFERENCE_MATCH
NC_001416.1	47042	47494	-	PHAR_NC_001416_1_CDS_0084	head protein	uncharacterized protein ydfo	NA	NO_EXACT_REFERENCE_MATCH
NC_001604.1	3171	5822	+	PHAR_NC_001604_1_CDS_0011	RNA polymerase	conserved phage protein of unknown function	RNA polymerase	EXACT_PRODUCT_AGREEMENT
NC_001604.1	22967	24004	+	PHAR_NC_001604_1_CDS_0044	major head protein	conserved phage protein of unknown function	major head protein	EXACT_PRODUCT_AGREEMENT
NC_005859.1	46412	46888	-	PHAR_NC_005859_1_CDS_0116	Rnase H	conserved phage protein of unknown function	Rnase H	EXACT_PRODUCT_AGREEMENT
NC_005859.1	48391	49536	-	PHAR_NC_005859_1_CDS_0119	ribonucleoside diphosphate reductase small subunit	conserved phage protein of unknown function	putative aerobic ribonucleoside diphosphate reductase, small subunit	UNRESOLVED_REVIEW_REQUIRED
NC_002371.2	1	225	+	PHAR_NC_002371_2_CDS_0001	terminase small subunit	conserved phage protein of unknown function	NA	NO_EXACT_REFERENCE_MATCH
NC_002371.2	13336	14046	-	PHAR_NC_002371_2_CDS_0014	superinfection exclusion SieA-like	conserved phage protein of unknown function	NA	NO_EXACT_REFERENCE_MATCH
NC_002371.2	18266	19498	-	PHAR_NC_002371_2_CDS_0020	GtrC-like O-antigen conversion translocase	uncharacterized 55.3 kda protein in gtrb 5'region	NA	NO_EXACT_REFERENCE_MATCH
NC_002371.2	29581	30336	+	PHAR_NC_002371_2_CDS_0046	superinfection exclusion inhibits SieB	conserved phage protein of unknown function	NA	NO_EXACT_REFERENCE_MATCH
NC_002371.2	32349	32495	+	PHAR_NC_002371_2_CDS_0052	tail protein	uncharacterized 5.8 kda protein	tail protein	EXACT_PRODUCT_AGREEMENT
NC_002371.2	39644	40180	+	PHAR_NC_002371_2_CDS_0071	Rha-like transcriptional regulator	uncharacterized 22.8 kda protein in gp15-gp3 intergenic region	NA	NO_EXACT_REFERENCE_MATCH
NC_002371.2	41455	41724	+	PHAR_NC_002371_2_CDS_0079	terminase small subunit	conserved phage protein of unknown function	NA	NO_EXACT_REFERENCE_MATCH
NC_000929.1	5482	5781	+	PHAR_NC_000929_1_CDS_0011	transcriptional regulator, D5-like	uncharacterized protein gp9	transcriptional regulator, D5-like	EXACT_PRODUCT_AGREEMENT
NC_000929.1	35299	35673	+	PHAR_NC_000929_1_CDS_0055	DNA invertase	conserved phage protein of unknown function	NA	NO_EXACT_REFERENCE_MATCH
