matching_mode	accession	start	end	strand	status	candidate_reference_ids
exact	NC_000866.4	60713	60925	-	MATCHED	
exact	NC_000866.4	60922	61389	-	MATCHED	
exact	NC_000866.4	61386	61733	-	MATCHED	
exact	NC_000866.4	61726	62271	-	MATCHED	
exact	NC_000866.4	62279	62740	-	MATCHED	
exact	NC_000866.4	62800	63078	-	MATCHED	
exact	NC_000866.4	63078	63344	-	MATCHED	
exact	NC_000866.4	63337	63459	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	63557	63919	-	MATCHED	
exact	NC_000866.4	63927	64256	-	MATCHED	
exact	NC_000866.4	64253	64912	-	MATCHED	
exact	NC_000866.4	64939	65355	-	MATCHED	
exact	NC_000866.4	65416	65718	-	MATCHED	
exact	NC_000866.4	65834	66415	-	MATCHED	
exact	NC_000866.4	66503	66997	-	MATCHED	
exact	NC_000866.4	67035	67490	-	MATCHED	
exact	NC_000866.4	67472	67570	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	67572	67664	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	67652	67960	-	MATCHED	
exact	NC_000866.4	67957	68319	-	MATCHED	
exact	NC_000866.4	68301	68693	-	MATCHED	
exact	NC_000866.4	68662	69270	-	MATCHED	
exact	NC_000866.4	69312	69905	-	MATCHED	
exact	NC_000866.4	69968	70303	-	MATCHED	
exact	NC_000866.4	70360	70623	-	MATCHED	
exact	NC_000866.4	70587	70676	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	70821	70982	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	70979	71098	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	71253	71918	-	MATCHED	
exact	NC_000866.4	72628	72915	-	MATCHED	
exact	NC_000866.4	72918	73328	-	MATCHED	
exact	NC_000866.4	73329	73514	-	MATCHED	
exact	NC_000866.4	73591	73878	-	MATCHED	
exact	NC_000866.4	73952	74410	-	MATCHED	
exact	NC_000866.4	74407	74649	-	MATCHED	
exact	NC_000866.4	74649	75374	-	MATCHED	
exact	NC_000866.4	75424	75954	-	MATCHED	
exact	NC_000866.4	76061	76885	-	MATCHED	
exact	NC_000866.4	76885	77337	-	MATCHED	
exact	NC_000866.4	77385	77975	+	MATCHED	
exact	NC_000866.4	77959	79686	+	MATCHED	
exact	NC_000866.4	79661	80215	+	NO_REFERENCE_MATCH	
exact	NC_000866.4	80196	80618	+	MATCHED	
exact	NC_000866.4	80621	80791	+	MATCHED	
exact	NC_000866.4	80779	81072	+	MATCHED	
exact	NC_000866.4	81081	83063	+	MATCHED	
exact	NC_000866.4	83060	86158	+	MATCHED	
exact	NC_000866.4	86151	87155	+	MATCHED	
exact	NC_000866.4	87219	88085	+	MATCHED	
exact	NC_000866.4	88085	89893	+	MATCHED	
exact	NC_000866.4	89893	90552	+	MATCHED	
exact	NC_000866.4	90549	92132	+	MATCHED	
exact	NC_000866.4	92129	93592	+	MATCHED	
exact	NC_000866.4	93624	94553	+	MATCHED	
exact	NC_000866.4	94555	95325	+	MATCHED	
exact	NC_000866.4	95367	96185	+	MATCHED	
exact	NC_000866.4	96194	96688	+	MATCHED	
exact	NC_000866.4	96672	98504	+	MATCHED	
exact	NC_000866.4	98536	100515	+	MATCHED	
exact	NC_000866.4	100632	101123	+	MATCHED	
exact	NC_000866.4	101207	102781	+	MATCHED	
exact	NC_000866.4	102781	103023	+	MATCHED	
exact	NC_000866.4	103023	103448	+	MATCHED	
exact	NC_000866.4	103448	104086	+	MATCHED	
exact	NC_000866.4	104117	104926	+	MATCHED	
exact	NC_000866.4	104945	106510	+	MATCHED	
exact	NC_000866.4	106561	107232	-	MATCHED	
exact	NC_000866.4	107241	107330	+	NO_REFERENCE_MATCH	
exact	NC_000866.4	107323	108606	+	MATCHED	
exact	NC_000866.4	108636	109640	-	MATCHED	
exact	NC_000866.4	109650	109928	-	MATCHED	
exact	NC_000866.4	109915	110097	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	110187	111317	-	MATCHED	
exact	NC_000866.4	111327	112007	-	MATCHED	
exact	NC_000866.4	112057	112674	+	MATCHED	
exact	NC_000866.4	112677	114440	+	MATCHED	
exact	NC_000866.4	114496	114663	-	MATCHED	
exact	NC_000866.4	114690	114914	-	MATCHED	
exact	NC_000866.4	114914	115327	-	MATCHED	
exact	NC_000866.4	115404	115802	-	MATCHED	
exact	NC_000866.4	115802	116428	-	MATCHED	
exact	NC_000866.4	116479	117228	+	MATCHED	
exact	NC_000866.4	117234	118403	+	NO_REFERENCE_MATCH	
exact	NC_000866.4	118348	118881	+	MATCHED	
exact	NC_000866.4	118878	120650	+	MATCHED	
exact	NC_000866.4	120659	121753	+	MATCHED	
exact	NC_000866.4	121753	122715	+	MATCHED	
exact	NC_000866.4	122742	123032	-	MATCHED	
exact	NC_000866.4	123065	123268	-	MATCHED	
exact	NC_000866.4	123265	123450	-	MATCHED	
exact	NC_000866.4	123454	125502	-	MATCHED	
exact	NC_000866.4	125560	125748	-	MATCHED	
exact	NC_000866.4	125745	127208	-	MATCHED	
exact	NC_000866.4	127205	127474	-	MATCHED	
exact	NC_000866.4	127474	128310	-	MATCHED	
exact	NC_000866.4	128307	128765	-	MATCHED	
exact	NC_000866.4	128758	128964	-	MATCHED	
exact	NC_000866.4	128961	129158	-	MATCHED	
exact	NC_000866.4	129158	129445	-	MATCHED	
exact	NC_000866.4	129487	129852	-	MATCHED	
exact	NC_000866.4	129921	130253	-	MATCHED	
exact	NC_000866.4	130255	130362	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	130364	130582	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	130573	130677	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	130785	131033	-	MATCHED	
exact	NC_000866.4	131181	131516	-	MATCHED	
exact	NC_000866.4	131573	131881	-	MATCHED	
exact	NC_000866.4	131882	132118	-	MATCHED	
exact	NC_000866.4	132118	132699	-	MATCHED	
exact	NC_000866.4	132696	133034	-	MATCHED	
exact	NC_000866.4	133031	133261	-	MATCHED	
exact	NC_000866.4	133334	133609	-	MATCHED	
exact	NC_000866.4	133612	133812	-	MATCHED	
exact	NC_000866.4	133805	134002	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	134002	134907	-	MATCHED	
exact	NC_000866.4	134908	135135	-	MATCHED	
exact	NC_000866.4	135132	135431	-	MATCHED	
exact	NC_000866.4	135428	135781	-	MATCHED	
exact	NC_000866.4	135772	136278	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	136340	137464	-	MATCHED	
exact	NC_000866.4	137517	137927	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	137955	138434	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	138424	138603	+	NO_REFERENCE_MATCH	
exact	NC_000866.4	138640	138777	+	NO_REFERENCE_MATCH	
exact	NC_000866.4	138774	138935	+	NO_REFERENCE_MATCH	
exact	NC_000866.4	139054	139719	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	139716	139967	-	MATCHED	
exact	NC_000866.4	139991	140416	-	MATCHED	
exact	NC_000866.4	140416	142680	-	MATCHED	
exact	NC_000866.4	142671	142997	-	MATCHED	
exact	NC_000866.4	142951	143214	-	MATCHED	
exact	NC_000866.4	143235	143549	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	143694	144431	-	MATCHED	
exact	NC_000866.4	144561	145112	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	145109	145690	-	MATCHED	
exact	NC_000866.4	145762	146004	-	MATCHED	
exact	NC_000866.4	146143	146529	-	MATCHED	
exact	NC_000866.4	146575	146802	-	MATCHED	
exact	NC_000866.4	146948	147853	-	MATCHED	
exact	NC_000866.4	147909	148541	-	MATCHED	
exact	NC_000866.4	148543	149181	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	149193	149531	-	MATCHED	
exact	NC_000866.4	149509	149778	-	MATCHED	
exact	NC_000866.4	149787	150704	-	MATCHED	
exact	NC_000866.4	150809	154678	+	MATCHED	
exact	NC_000866.4	154687	155805	+	MATCHED	
exact	NC_000866.4	155868	156533	+	MATCHED	
exact	NC_000866.4	156542	159622	+	MATCHED	
exact	NC_000866.4	159649	160200	+	MATCHED	
exact	NC_000866.4	160221	160877	+	MATCHED	
exact	NC_000866.4	160878	161150	-	MATCHED	
exact	NC_000866.4	161163	161315	-	MATCHED	
exact	NC_000866.4	161312	161590	-	MATCHED	
exact	NC_000866.4	161674	161805	-	MATCHED	
exact	NC_000866.4	161876	162172	-	MATCHED	
exact	NC_000866.4	162172	162630	-	MATCHED	
exact	NC_000866.4	162627	162833	-	MATCHED	
exact	NC_000866.4	162967	163602	-	MATCHED	
exact	NC_000866.4	163730	163879	-	MATCHED	
exact	NC_000866.4	163876	165204	-	MATCHED	
exact	NC_000866.4	165209	165349	-	MATCHED	
exact	NC_000866.4	165342	165497	-	MATCHED	
exact	NC_000866.4	165585	166040	-	MATCHED	
exact	NC_000866.4	166101	166316	-	MATCHED	
exact	NC_000866.4	166325	166432	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	166432	166554	-	MATCHED	
exact	NC_000866.4	166548	166649	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	166636	166749	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	166815	166913	-	MATCHED	
exact	NC_000866.4	166993	167121	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	167103	167660	-	MATCHED	
exact	NC_000866.4	167743	167937	-	MATCHED	
exact	NC_000866.4	167965	168903	-	MATCHED	
exact	NC_001416.1	191	736	+	MATCHED	
exact	NC_001416.1	751	894	+	NO_REFERENCE_MATCH	
exact	NC_001416.1	891	2636	+	NO_REFERENCE_MATCH	
exact	NC_001416.1	2633	2839	+	MATCHED	
exact	NC_001416.1	2836	4437	+	MATCHED	
exact	NC_001416.1	4319	5737	+	NO_REFERENCE_MATCH	
exact	NC_001416.1	5747	6079	+	MATCHED	
exact	NC_001416.1	6135	7160	+	MATCHED	
exact	NC_001416.1	7163	7600	+	NO_REFERENCE_MATCH	
exact	NC_001416.1	7678	7965	+	NO_REFERENCE_MATCH	
exact	NC_001416.1	7977	8555	+	MATCHED	
exact	NC_001416.1	8552	8947	+	MATCHED	
exact	NC_001416.1	8955	9695	+	MATCHED	
exact	NC_001416.1	9711	10133	+	MATCHED	
exact	NC_001416.1	10160	10549	+	NO_REFERENCE_MATCH	
exact	NC_001416.1	10542	13103	+	MATCHED	
exact	NC_001416.1	13100	13429	+	MATCHED	
exact	NC_001416.1	13429	14127	+	MATCHED	
exact	NC_001416.1	14090	14257	+	NO_REFERENCE_MATCH	
exact	NC_001416.1	14276	14875	+	MATCHED	
exact	NC_001416.1	14773	15444	+	MATCHED	
exact	NC_001416.1	15505	18903	+	MATCHED	
exact	NC_001416.1	18965	19585	+	MATCHED	
exact	NC_001416.1	19650	20855	+	MATCHED	
exact	NC_001416.1	20815	20964	+	NO_REFERENCE_MATCH	
exact	NC_001416.1	21029	21973	+	MATCHED	
exact	NC_001416.1	21973	22557	+	MATCHED	
exact	NC_001416.1	22686	23918	-	MATCHED	
exact	NC_001416.1	23947	24045	-	NO_REFERENCE_MATCH	
exact	NC_001416.1	24108	24317	-	NO_REFERENCE_MATCH	
exact	NC_001416.1	24509	25399	-	MATCHED	
exact	NC_001416.1	25396	26973	-	MATCHED	
exact	NC_001416.1	27009	27164	-	NO_REFERENCE_MATCH	
exact	NC_001416.1	27157	27351	-	NO_REFERENCE_MATCH	
exact	NC_001416.1	27335	27604	-	NO_REFERENCE_MATCH	
exact	NC_001416.1	27766	27855	-	NO_REFERENCE_MATCH	
exact	NC_001416.1	27812	28882	-	MATCHED	
exact	NC_001416.1	28860	29078	-	MATCHED	
exact	NC_001416.1	29118	29285	-	MATCHED	
exact	NC_001416.1	29374	29655	-	MATCHED	
exact	NC_001416.1	29847	30347	-	NO_REFERENCE_MATCH	
exact	NC_001416.1	30392	30613	-	NO_REFERENCE_MATCH	
exact	NC_001416.1	30620	30709	-	NO_REFERENCE_MATCH	
exact	NC_001416.1	30712	30894	-	NO_REFERENCE_MATCH	
exact	NC_001416.1	31005	31196	-	MATCHED	
exact	NC_001416.1	31169	31351	-	MATCHED	
exact	NC_001416.1	31348	32028	-	MATCHED	
exact	NC_001416.1	32025	32810	-	MATCHED	
exact	NC_001416.1	32816	33232	-	MATCHED	
exact	NC_001416.1	33187	33456	-	NO_REFERENCE_MATCH	
exact	NC_001416.1	33536	33904	-	MATCHED	
exact	NC_001416.1	33917	34006	-	NO_REFERENCE_MATCH	
exact	NC_001416.1	34087	34287	-	MATCHED	
exact	NC_001416.1	34261	34386	+	NO_REFERENCE_MATCH	
exact	NC_001416.1	34485	35036	+	NO_REFERENCE_MATCH	
exact	NC_001416.1	35037	35438	-	MATCHED	
exact	NC_001416.1	35471	35581	+	NO_REFERENCE_MATCH	
exact	NC_001416.1	35583	35672	+	NO_REFERENCE_MATCH	
exact	NC_001416.1	35669	35854	+	NO_REFERENCE_MATCH	
exact	NC_001416.1	35825	36259	-	MATCHED	
exact	NC_001416.1	36275	37114	-	MATCHED	
exact	NC_001416.1	37227	37940	-	MATCHED	
exact	NC_001416.1	37919	38056	+	NO_REFERENCE_MATCH	
exact	NC_001416.1	38041	38241	+	MATCHED	
exact	NC_001416.1	38300	38653	+	NO_REFERENCE_MATCH	
exact	NC_001416.1	38686	39585	+	MATCHED	
exact	NC_001416.1	39582	40283	+	MATCHED	
exact	NC_001416.1	40280	40570	+	MATCHED	
exact	NC_001416.1	40644	41084	+	MATCHED	
exact	NC_001416.1	41063	41953	+	NO_REFERENCE_MATCH	
exact	NC_001416.1	41972	42169	+	NO_REFERENCE_MATCH	
exact	NC_001416.1	42227	42439	+	NO_REFERENCE_MATCH	
exact	NC_001416.1	42429	43043	+	MATCHED	
exact	NC_001416.1	43152	43889	+	NO_REFERENCE_MATCH	
exact	NC_001416.1	43886	44509	+	MATCHED	
exact	NC_001416.1	44538	44690	-	NO_REFERENCE_MATCH	
exact	NC_001416.1	44654	44938	-	NO_REFERENCE_MATCH	
exact	NC_001416.1	45147	45242	-	NO_REFERENCE_MATCH	
exact	NC_001416.1	45186	45509	+	MATCHED	
exact	NC_001416.1	45493	45969	+	MATCHED	
exact	NC_001416.1	45966	46427	+	MATCHED	
exact	NC_001416.1	46459	46752	-	MATCHED	
exact	NC_001416.1	46896	46994	-	NO_REFERENCE_MATCH	
exact	NC_001416.1	47042	47494	-	NO_REFERENCE_MATCH	
exact	NC_001416.1	47572	47736	-	NO_REFERENCE_MATCH	
exact	NC_001416.1	47738	47944	+	MATCHED	
exact	NC_001416.1	48109	48303	-	NO_REFERENCE_MATCH	
exact	NC_001416.1	48319	48432	-	NO_REFERENCE_MATCH	
exact	NC_001604.1	3	98	+	NO_REFERENCE_MATCH	
exact	NC_001604.1	474	608	-	NO_REFERENCE_MATCH	
exact	NC_001604.1	627	749	-	NO_REFERENCE_MATCH	
exact	NC_001604.1	766	921	-	NO_REFERENCE_MATCH	
exact	NC_001604.1	925	1278	+	MATCHED	
exact	NC_001604.1	1278	1433	+	MATCHED	
exact	NC_001604.1	1430	1639	+	NO_REFERENCE_MATCH	
exact	NC_001604.1	1639	1797	+	NO_REFERENCE_MATCH	
exact	NC_001604.1	1781	1972	+	NO_REFERENCE_MATCH	
exact	NC_001604.1	2021	3100	+	MATCHED	
exact	NC_001604.1	3171	5822	+	MATCHED	
exact	NC_001604.1	6007	6135	+	MATCHED	
exact	NC_001604.1	6137	6394	+	MATCHED	
exact	NC_001604.1	6475	7554	+	MATCHED	
exact	NC_001604.1	7608	7763	+	MATCHED	
exact	NC_001604.1	7791	7880	+	MATCHED	
exact	NC_001604.1	7906	8166	+	MATCHED	
exact	NC_001604.1	8166	8756	+	MATCHED	
exact	NC_001604.1	8749	8895	+	MATCHED	
exact	NC_001604.1	8892	9092	+	NO_REFERENCE_MATCH	
exact	NC_001604.1	9158	9856	+	MATCHED	
exact	NC_001604.1	9857	10276	+	MATCHED	
exact	NC_001604.1	10257	10706	+	MATCHED	
exact	NC_001604.1	10706	11161	+	MATCHED	
exact	NC_001604.1	11225	11590	+	MATCHED	
exact	NC_001604.1	11565	13265	+	MATCHED	
exact	NC_001604.1	13352	13564	+	MATCHED	
exact	NC_001604.1	13584	13853	+	MATCHED	
exact	NC_001604.1	13798	14334	+	NO_REFERENCE_MATCH	
exact	NC_001604.1	14353	16467	+	MATCHED	
exact	NC_001604.1	16483	16839	+	MATCHED	
exact	NC_001604.1	16851	17150	+	MATCHED	
exact	NC_001604.1	17150	17359	+	MATCHED	
exact	NC_001604.1	17359	17517	+	MATCHED	
exact	NC_001604.1	17504	18406	+	MATCHED	
exact	NC_001604.1	18394	18507	+	MATCHED	
exact	NC_001604.1	18605	18859	+	MATCHED	
exact	NC_001604.1	18864	19130	+	MATCHED	
exact	NC_001604.1	19130	19531	+	MATCHED	
exact	NC_001604.1	19535	19834	+	MATCHED	
exact	NC_001604.1	19848	20240	+	MATCHED	
exact	NC_001604.1	20225	21850	+	NO_REFERENCE_MATCH	
exact	NC_001604.1	21950	22873	+	MATCHED	
exact	NC_001604.1	22967	24004	+	MATCHED	
exact	NC_001604.1	24004	24162	+	NO_REFERENCE_MATCH	
exact	NC_001604.1	24228	24818	+	MATCHED	
exact	NC_001604.1	24842	27226	+	MATCHED	
exact	NC_001604.1	27307	27723	+	MATCHED	
exact	NC_001604.1	27728	28318	+	MATCHED	
exact	NC_001604.1	28325	30568	+	MATCHED	
exact	NC_001604.1	30595	34551	+	MATCHED	
exact	NC_001604.1	34624	36285	+	MATCHED	
exact	NC_001604.1	36344	36547	+	MATCHED	
exact	NC_001604.1	36553	36822	+	MATCHED	
exact	NC_001604.1	36797	36898	+	NO_REFERENCE_MATCH	
exact	NC_001604.1	36917	37348	+	MATCHED	
exact	NC_001604.1	37370	39130	+	MATCHED	
exact	NC_001604.1	39389	39538	+	MATCHED	
exact	NC_001604.1	39494	39604	-	NO_REFERENCE_MATCH	
exact	NC_001604.1	39713	39847	-	NO_REFERENCE_MATCH	
exact	NC_001604.1	39834	39935	-	NO_REFERENCE_MATCH	
exact	NC_005859.1	124	858	-	MATCHED	
exact	NC_005859.1	939	1334	-	MATCHED	
exact	NC_005859.1	1371	1649	-	MATCHED	
exact	NC_005859.1	1706	3376	-	MATCHED	
exact	NC_005859.1	3473	3670	-	MATCHED	
exact	NC_005859.1	3727	4134	-	MATCHED	
exact	NC_005859.1	4230	4481	-	MATCHED	
exact	NC_005859.1	4538	4639	+	NO_REFERENCE_MATCH	
exact	NC_005859.1	4715	4918	-	MATCHED	
exact	NC_005859.1	4915	5118	-	NO_REFERENCE_MATCH	
exact	NC_005859.1	5206	5319	+	NO_REFERENCE_MATCH	
exact	NC_005859.1	5411	5929	-	MATCHED	
exact	NC_005859.1	6205	6294	-	NO_REFERENCE_MATCH	
exact	NC_005859.1	6495	7505	+	MATCHED	
exact	NC_005859.1	7624	7854	+	MATCHED	
exact	NC_005859.1	7904	8083	+	MATCHED	
exact	NC_005859.1	8086	8298	+	MATCHED	
exact	NC_005859.1	8300	8644	+	MATCHED	
exact	NC_005859.1	8681	8938	+	MATCHED	
exact	NC_005859.1	8954	9157	+	MATCHED	
exact	NC_005859.1	9171	9398	-	NO_REFERENCE_MATCH	
exact	NC_005859.1	9653	9883	-	NO_REFERENCE_MATCH	
exact	NC_005859.1	9870	10022	+	NO_REFERENCE_MATCH	
exact	NC_005859.1	10030	10128	+	NO_REFERENCE_MATCH	
exact	NC_005859.1	10194	10331	+	NO_REFERENCE_MATCH	
exact	NC_005859.1	10368	10460	+	NO_REFERENCE_MATCH	
exact	NC_005859.1	10580	10675	+	NO_REFERENCE_MATCH	
exact	NC_005859.1	10680	10775	+	NO_REFERENCE_MATCH	
exact	NC_005859.1	10936	11820	-	MATCHED	
exact	NC_005859.1	11902	12510	-	MATCHED	
exact	NC_005859.1	12510	12695	-	MATCHED	
exact	NC_005859.1	12695	12928	-	MATCHED	
exact	NC_005859.1	12916	13206	-	MATCHED	
exact	NC_005859.1	13199	13747	-	NO_REFERENCE_MATCH	
exact	NC_005859.1	13816	13926	-	NO_REFERENCE_MATCH	
exact	NC_005859.1	13907	14278	-	MATCHED	
exact	NC_005859.1	14226	14687	-	MATCHED	
exact	NC_005859.1	14684	14884	-	MATCHED	
exact	NC_005859.1	14841	14987	-	NO_REFERENCE_MATCH	
exact	NC_005859.1	14984	15310	-	MATCHED	
exact	NC_005859.1	15300	15545	-	MATCHED	
exact	NC_005859.1	15542	15823	-	MATCHED	
exact	NC_005859.1	15823	15987	-	MATCHED	
exact	NC_005859.1	15987	16238	-	MATCHED	
exact	NC_005859.1	16317	16748	-	MATCHED	
exact	NC_005859.1	16801	16923	-	NO_REFERENCE_MATCH	
exact	NC_005859.1	16916	17437	-	MATCHED	
exact	NC_005859.1	17437	18300	-	MATCHED	
exact	NC_005859.1	18303	18548	-	MATCHED	
exact	NC_005859.1	18646	18936	-	MATCHED	
exact	NC_005859.1	18929	19360	-	MATCHED	
exact	NC_005859.1	19436	19852	-	MATCHED	
